,sentences
3236,The man is not adding seasoning to the/some water in a bowl
3237,The man is seasoning the sausages
3238,The man is seasoning the meat
3239,The man is not seasoning the sausages
3240,A man is playing a large flute
3241,A large flute is being played by a man
3242,A man is playing a small flute
3243,A woman is not peeling a potato
3244,The lady is peeling the potato
3245,The potato is being peeled by the lady
3246,There is no lady peeling the potato
3247,A man is riding a scooter
3248,A man is not riding a scooter
3249,A man is playing the instrument
3250,An octopus is being sliced by a woman
3251,A woman is slicing an octopus
3252,A woman is not slicing an octopus
3253,A man is not playing the drums
3254,A man is putting some food in a box
3255,A man is putting some food in a container
3256,A man is removing some food from a box
3257,The man is putting chicken into the box
3258,The man is putting chicken into the container
3259,The man is not putting chicken into the container
3260,Eggs are being cracked into a bowl by a woman
3261,A woman is cracking eggs into a bowl
3262,A woman is taking eggs out of a bowl
3263,A woman is placing skewers onto a rack
3264,Skewers are being placed onto a rack by a woman
3265,There is no woman placing skewers onto a rack
3266,A baby is playing a guitar
3267,A guitar is being played by a baby
3268,A baby is not playing a guitar
3269,The little boy is singing and playing the guitar
3270,The little kid is singing and playing the guitar
3271,The little boy is not singing and playing the guitar
3272,A man is passionately playing a guitar in front of an audience
3273,A person is passionately playing a guitar in front of an audience
3274,A woman is passionately playing a guitar in front of an audience
3275,A woman is peeling food
3276,A man is reading the email
3277,A person is reading the email
3278,There is no man reading the email
3279,Someone is checking the email
3280,Someone is reading the email
3281,Someone is not reading the email
3282,Two baby pandas are playing
3283,Two cubs are playing
3284,Two baby pandas are sleeping
3285,Two pandas are lying together
3286,Two panda bears are lying together
3287,Two pandas are not lying together
3288,Fish is being cooked by a woman
3289,A woman is cooking fish
3290,There is no woman cooking fish
3291,A woman is frying fish
3292,Fish is being fried by a woman
3293,A woman is not frying fish
3294,A man is not playing a flute
3295,A woman is playing the flute
3296,The flute is being played by a woman
3297,A man is playing the flute
3298,A boy is mowing the lawn
3299,A guy is mowing the lawn
3300,There is no guy mowing the lawn
3301,Grass is being mowed by a man
3302,A man is mowing grass
3303,There is no man mowing grass
3304,A person is frying meat in a pan
3305,A person is frying food in a pan
3306,A person is not frying meat in a pan
3307,A skunk is being held by a person
3308,A person is holding a skunk
3309,A person is not holding a skunk
3310,The lady is cracking an egg into a bowl
3311,The lady is cracking an egg into a dish
3312,The lady is taking an egg out of a bowl
3313,The man is cracking eggs into a bowl
3314,The person is cracking eggs into a bowl
3315,A man is cutting tomatoes
3316,A man is slicing tomatoes
3317,There is no man cutting tomatoes
3318,Broccoli are being cut by a woman
3319,A woman is not cutting broccoli
3320,A woman is cutting a lemon
3321,A woman is cutting fruit
3322,A man is cutting a lemon
3323,A woman is firing a rifle
3324,A woman is firing a weapon
3325,There is no woman firing a rifle
3326,Guitar is being played by a man
3327,A woman is playing the drums
3328,A man is drawing on a digital dry erase board
3329,A man is drawing on a board
3330,A man is not drawing on a digital dry erase board
3331,A man is drawing some figures
3332,A person is drawing some figures
3333,A man is erasing some figures
3334,A woman is cutting onions
3335,A woman is chopping onions
3336,There is no woman cutting onions
3337,A woman is slicing tofu
3338,A woman is cutting tofu
3339,A woman is not cutting tofu
3340,A group of people are dancing at a concert
3341,A group of people are dancing in a show
3342,A group of people are not dancing at a concert
3343,A group of people are marching
3344,A group of people are walking
3345,A group of people are standing
3346,A man is working on the laptop
3347,A man is working on the computer
3348,There is no man working on the laptop
3349,The man is feeding the snake with a mouse
3350,The man is feeding the snake with an animal
3351,The man is not feeding the snake with a mouse
3352,A boy is playing on a toy phone
3353,A boy is playing on a toy
3354,A girl is playing on a toy phone
3355,The man is aiming a gun
3356,The man is handling a gun
3357,The man is drawing a gun
3358,A horse is being ridden by a girl
3359,A girl is riding a horse
3360,There is no girl riding a horse
3361,The girl is trotting on the horse
3362,The person is trotting on the horse
3363,The boy is trotting on the horse
3364,A man is breaking a slab of concrete with a sledge hammer
3365,A man is breaking a block of concrete with a sledge hammer
3366,There is no man breaking a slab of concrete with a sledge hammer
3367,The man is using a sledgehammer to break a concrete block that is on another man
3368,The man is using a sledgehammer to break a concrete block that is on another person
3369,The woman is using a sledgehammer to break a concrete block that is on another man
3370,A dog is barking at a ball
3371,An animal is barking at a ball
3372,There is no dog barking at a ball
3373,A dog is swimming after a tennis ball
3374,A dog is swimming after a ball
3375,A cat is swimming after a tennis ball
3376,A cupcake is being eaten by a girl
3377,A girl is eating a cupcake
3378,A boy is eating a cupcake
3379,A woman is eating a cupcake
3380,A woman is eating a cake
3381,A woman is not eating a cupcake
3382,A person is spitting
3383,A man is playing keyboards
3384,A man is not playing keyboards
3385,A man is riding a rodeo bull
3386,A man is falling off a mechanical bull
3387,A man is cutting a boot with a sword
3388,A man is cutting a boot with a blade
3389,There is no man cutting a boot with a sword
3390,A person is severing the toe of an empty leather boot with a sword
3391,A man is severing the toe of an empty leather boot with a sword
3392,A woman is severing the toe of an empty leather boot with a sword
3393,A chef is cleaning a bowl of soup
3394,A bowl of soup is being cleaned by a chef
3395,A chef is getting a bowl of soup dirty
3396,A man is wiping the edge of a bowl
3397,A man is cleaning the edge of a bowl
3398,There is no man wiping the edge of a bowl
3399,The guitar is being played by a kid
3400,A kid is playing the guitar
3401,A kid is playing the piano
3402,A young boy is singing and playing a guitar
3403,A kid is singing and playing a guitar
3404,There is no young boy singing and playing a guitar
3405,Someone is stirring a pot of chili with a spoon
3406,A pot of chili is being stirred by someone with a spoon
3407,Nobody is stirring a pot of chili with a spoon
3408,Someone is stirring chili in a kettle
3409,Someone is stirring chili in a pot
3410,Someone is not stirring chili in a kettle
3411,A person is eating in a restaurant
3412,A person is eating at a table
3413,A person is not eating at a table
3414,A man is making a bed
3415,A person is making a bed
3416,A person is not making a bed
3417,A cat is playing with a small bottle
3418,An animal is playing with a small bottle
3419,A cat is playing with a big bottle
3420,A bottle is being licked by the cat
3421,The cat is licking a bottle
3422,The dog is licking a bottle
3423,A small dog is lying on the bed
3424,A small dog is lying on a bed
3425,A small cat is lying on a bed
3426,A small animal is lying on the bed
3427,A small dog is lying under the bed
3428,A woman is cutting butter
3429,A woman is slicing butter
3430,A man is slicing butter
3431,There is no woman slicing tofu
3432,The man is playing with a skull
3433,The person is playing with a skull
3434,There is no man playing with a skull
3435,The man is playing the instrument
3436,Some cheese is being put on a pizza by a man
3437,The cook is sprinkling cheese on the pizza
3438,The man is sprinkling cheese on the pizza
3439,There is no man sprinkling cheese on the pizza
3440,A man is firing a shotgun
3441,A man is firing a gun
3442,A man is reloading a shotgun
3443,A man is shooting a shotgun
3444,There is no man shooting a shotgun
3445,A famous singer is dancing on the ceiling
3446,A great singer is dancing on the ceiling
3447,There is no famous singer dancing on the ceiling
3448,A man is dancing on the ceiling
3449,A person is dancing on the ceiling
3450,A man is dancing on the floor
3451,A cow is eating grass
3452,A cow is grazing
3453,A cow is not eating grass
3454,Hay is being eaten by a cow
3455,A cow is eating hay
3456,A cow is not eating hay
3457,A man is having lunch
3458,A man is eating
3459,A man is puking
3460,A woman is dancing gracefully
3461,A woman is sleeping
3462,A baby is playing with a doll
3463,A baby is playing with a toy
3464,A baby is not playing with a doll
3465,A tiger cub is playing with a ball
3466,A baby tiger is playing with a ball
3467,There is no baby tiger playing with a ball
3468,The man is playing a game on a lawn
3469,The man is playing a game on the grass
3470,There is no man playing a game on the grass
3471,The animal is grazing on the grass
3472,There is no rhino grazing on the grass
3473,A man is talking to a woman
3474,A man and a woman are speaking
3475,A man is talking to a boy
3476,A woman is talking to a man
3477,A woman is cracking eggs
3478,A woman is breaking eggs
3479,A man is cracking eggs
3480,A man is not riding a bicycle
3481,A man is riding an electric bicycle
3482,A person is riding an electric bicycle
3483,There is no man riding an electric bicycle
3484,A cat is jumping into a container
3485,A cat is jumping into a box
3486,A dog is jumping into a box
3487,A boy is talking to a leaf
3488,A young man is talking to a leaf
3489,An old man is talking to a leaf
3490,A fish is being cut by a man
3491,A man is cutting a fish
3492,There is no man cutting a fish
3493,A man is slicing a fish
3494,A fish is being sliced by a man
3495,A person is frying some food
3496,A person is cooking some food
3497,A person is not frying
3498,A person is peeling a potato
3499,A potato is being peeled by a person
3500,There is no person peeling a potato
3501,A man is rowing a canoe
3502,A man is rowing a boat
3503,A woman is rowing a boat
3504,A man is shooting with a gun
3505,A man is shooting with a weapon
3506,A man is shooting with a bow
3507,A woman is dancing near a fire
3508,A woman is dancing near a fireplace
3509,There is no woman dancing near a fire
3510,A guitar is being played by a girl
3511,A girl is playing a guitar
3512,A man is diving off a rock
3513,A man is diving off a cliff
3514,There is no man diving off a cliff
3515,A motorcycle is being ridden by a man
3516,The woman is playing the guitar
3517,The person is playing the guitar
3518,A man is boiling noodles in water
3519,Someone is stirring noodles in the water
3520,Someone is stirring food in the water
3521,Nobody is stirring noodles in the water
3522,The women are singing and dancing
3523,The persons are singing and dancing
3524,The women are not singing and dancing
3525,Two women are dancing and singing in front of a crowd
3526,Two women are dancing and singing in front of many people
3527,Two men are dancing and singing in front of a crowd
3528,A lemur is biting a person's finger
3529,An animal is biting a person's finger
3530,A lemur is licking a person's finger
3531,An animal is biting someone's finger
3532,An animal is biting somebody's hand
3533,A boy is skateboarding on a half pipe
3534,A man is skateboarding on a half pipe
3535,A girl is skateboarding on a half pipe
3536,A skateboarder is doing acrobatics on a half pipe
3537,A skateboarder is doing tricks on a half pipe
3538,A skateboarder is falling off a half pipe
3539,A big dog is running on the ground
3540,A dog is running on the ground
3541,A dog is sitting on the ground
3542,The girl is tapping her fingernails
3543,A girl is tapping her fingernails
3544,A boy is tapping his fingernails
3545,A man and a woman are driving down the road in a car
3546,A man and a woman are driving down the road in an open-air vehicle
3547,Two men are driving down the road in an open-air vehicle
3548,A man and a woman are driving down the street in a jeep
3549,Two persons are driving down the street in a jeep
3550,A man and a woman are not driving down the street in a jeep
3551,Ingredients are being poured into a bowl by a woman
3552,A woman is pouring ingredients into a bowl
3553,There is no woman pouring ingredients into a bowl
3554,The chef is seasoning the oil
3555,The woman is seasoning the oil
3556,The woman is not seasoning the oil
3557,A horse is being ridden by a person
3558,A person is riding a horse
3559,A person is riding a motorbike
3560,Potatoes are being sliced by a woman
3561,There is no woman slicing potatoes
3562,The man is training
3563,The man is doing exercises
3564,The man is not doing exercises
3565,Two men are boxing
3566,Two men are hugging
3567,A man is putting vegetables into a pot
3568,Vegetables are being put into a pot by a man
3569,A man is removing vegetables from a pot
3570,Someone is pouring ingredients into a pot
3571,Someone is adding ingredients to a pot
3572,Nobody is pouring ingredients into a pot
3573,The man is standing on a rocky mountain and gray clouds are in the background
3574,"The man is standing on a mountain, which is rocky, and gray clouds are in the background"
3575,The man is not standing on a rocky mountain and gray clouds are not in the background
3576,"A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background"
3577,A topless person with a back pack is in front of a pile of rocks and clouds are in the background
3578,A fully dressed person is behind a pile of rocks and a clear sky is in the background
3579,A black topless person is packing a pile of rocks and a front of clouds are in the background
3580,The dog is catching a ball
3581,A dog is catching a ball
3582,There is no dog catching a ball
3583,A dog is furiously chasing a ball through dirt
3584,A dog is chasing a ball through dirt
3585,A dog is leaving a ball in the dirt
3586,A boy in a blue shirt has dirt on his face
3587,A boy in a blue dyed shirt has dirt on his face
3588,A topless boy has a clean face
3589,A boy has a blue face and dirt on the shirt
3590,"A child, who has blond hair, is holding a yellow bottle"
3591,A blond child is holding a yellow bottle
3592,There is no blond child holding a yellow bottle
3593,A man in a hat is pacing through a store
3594,A man in a hat is walking through a store
3595,A man in a hat is walking past a store
3596,A walker is in a hat store for men
3597,The man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket
3598,The man in a cowboy hat is walking through a market and is putting a hand in his pocket
3599,The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket
3600,A large white crane is flying near the water
3601,"A crane, which is large and white, is flying near the water"
3602,A large white crane is flying far above the water
3603,A white bird is landing swiftly in the water
3604,The white bird is landing swiftly in the water
3605,A white bird is swiftly taking off from the water
3606,The land near a white bird is being watered swiftly
3607,A brown dog is calmly standing in the water
3608,A brown dog is standing in the water
3609,There is no brown dog standing in the water
3610,A dog with golden fur is in the water
3611,A dog with a golden coat is in the water
3612,A dog with golden fur is out of the water
3613,"A girl in a blue shirt, who looks young, is walking on the sidewalk and holding up a pink sign"
3614,A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign
3615,There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign
3616,A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk
3617,The girl is carrying a sign and a group of people is following her
3618,The girl is carrying a sign and is being followed by a group of people
3619,The girl is not carrying a sign and no group of people is following her
3620,One man in a big city is holding up a sign and begging for money
3621,A man in a big city is holding a sign and begging for money
3622,A man in a small city is doing charity work
3623,A big city is begging for men and money holders
3624,A homeless man is holding up a sign and is begging for money
3625,A homeless man is holding up a sign and is pitifully begging for money
3626,A homeless man is putting down a sign and refusing some charity
3627,A small dog is chasing a large brown cow
3628,"A dog, which is small, is chasing a large brown cow"
3629,There is no small dog chasing a large brown cow
3630,A dog is chasing the tail of an animal in the grass
3631,The tail of an animal is being chasing by a dog in the grass
3632,A dog is walking away from the tail of an animal in the grass
3633,The small child is walking through the water and is being guided by another person
3634,The small child is wading through the water and is being guided by another person
3635,The small child is not wading through the water and is not being guided by another person
3636,A young child is splashing in the water
3637,The young child is splashing in the water
3638,There is no young child splashing in the water
3639,A young child is watering a plant with splashes
3640,A woman is looking curiously at a man
3641,A man is being curiously looked at by a woman
3642,A woman is ignoring a man
3643,"A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background"
3644,"A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background"
3645,A man and a woman are outside and are wearing light colored shirts
3646,The little dog is grabbing the bedroom slipper with its mouth funnily
3647,The little dog is grabbing the bedroom slipper with its mouth
3648,The little dog is dropping the bedroom slipper from its mouth
3649,A brown dog is looking closely at a brown and white dog
3650,A brown dog is staring attentively at a brown and white dog
3651,There is no brown dog staring attentively at a brown and white dog
3652,The man is performing a large jump
3653,A large jump is being performed by a man
3654,The man is not performing a large jump
3655,A person in a blue jacket is jumping off of a tall cement wall
3656,A person in a blue colored jacket is jumping off of a tall cement wall
3657,A person in a blue jacket is jumping onto a tall cement wall
3658,A person is cementing a jacket in a blue tall wall and jumping
3659,A woman in jeans is sitting on the saddle of a horse
3660,The woman in jeans is sitting on the saddle of a horse
3661,A woman in jeans is standing near a horse with a saddle
3662,A person wearing jeans is sitting happily on the top of a horse saddle
3663,A person wearing jeans is sitting on top of a horse saddle
3664,There is no person wearing jeans sitting on top of a horse saddle
3665,The brown dog and the red dog are frolicking on the beach
3666,A brown dog and a red dog are frolicking on the beach
3667,A brown dog and a red dog are sitting sadly on the beach
3668,The brown dogs are playfully fighting on the sandy beach
3669,The brown dogs are playfully fighting on the sandy shore
3670,The brown dogs are not playfully fighting on the sandy beach
3671,The man is standing steadily next to a birdcage
3672,The man is standing next to a bird cage
3673,The man is sitting next to a birdcage
3674,A man is standing beside a birdcage which is large and colorful
3675,A man is standing beside a large and colorful birdcage
3676,There is no man standing beside a large and colorful birdcage
3677,One brown and black dog is running through the leaves
3678,A brown and black dog is running through the leaves
3679,A brown and black dog is resting in the leaves
3680,A dog and a black man are running through brown leaves
3681,A dog in a colored coat is running swiftly across the yard
3682,A dog in a colored coat is running across the yard
3683,There is no dog in a colored coat running across the yard
3684,A dog in the yard is running across colored coats
3685,A brown and white dog is holding a baseball in its mouth
3686,"A dog, which has a brown and white coat, is holding a baseball in its mouth"
3687,A brown and white dog is putting the baseball in its mouth down
3688,A black and white dog is holding a baseball in its mouth
3689,A baseball is being held in its mouth by a black and white dog
3690,A black and white dog is dropping a baseball from its mouth
3691,A boy wearing red shorts is jumping into a paddling pool
3692,A kid wearing red shorts is jumping into a paddling pool
3693,There is no boy wearing red shorts jumping into a paddling pool
3694,"A boy, who looks young and is wearing a red swimsuit, is jumping into a blue kiddies pool"
3695,A young boy wearing a red swimsuit is jumping into a blue kiddies pool
3696,A young boy wearing a red swimsuit is jumping out of a blue kiddies pool
3697,A group of dogs are racing furiously and have muzzles on the noses
3698,A group of dogs are racing and have muzzles on their noses
3699,A group of dogs are resting without muzzles
3700,A group of racing dogs are nosing a muzzle
3701,A group of racing dogs is wearing striped uniforms and is running down a track
3702,A group of dogs bred for racing is wearing striped uniforms and is running down a track
3703,There is no group of racing dogs wearing striped uniforms and running down a track
3704,Two people are wading through the water
3705,A couple or people are wading through the water
3706,Two people are walking near the water
3707,Two people are standing in the ocean and watching the sunset
3708,Two people are standing in the ocean and looking at the sunset
3709,Nobody is standing in the ocean and watching the sunset
3710,A race car driver is standing up and is fiercely pointing his hand at the sky
3711,A race car driver is standing up and pointing his hand at the sky
3712,A race car driver is sitting down and is motionless
3713,The person in the blue jacket is wearing a colorful helmet
3714,A person in a blue jacket is wearing a colorful helmet
3715,The person in the blue jacket is putting down a colorful helmet
3716,A boy and a girl in swimsuits are wearing arm floats
3717,A boy and a girl in swimsuits are wearing floats for their arms
3718,A boy and a girl are naked
3719,The boy and the girl are cheerfully playing and wearing arm floats
3720,The boy and the girl are playing and wearing arm floats
3721,The boy and the girl are not playing and wearing arm floats
3722,A woman in a yellow dyed shirt is surfing on a pink surfboard
3723,A woman in a yellow shirt is surfing on a pink surfboard
3724,There is no woman in a yellow shirt surfing on a pink surfboard
3725,A woman in a pink shirt is surfing through yellow surfboards
3726,The wave is being ridden by a surfer
3727,A surfer is riding the wave
3728,A surfer is falling off the wave
3729,A rider is waving at a surfer
3730,Four people are sitting on a low cement ledge
3731,Some people are sitting on a low cement ledge
3732,Four people are standing on a low cement ledge
3733,The group of people is sitting on a ledge which is rocky and a scenic view is behind them
3734,The group of people is sitting on a rocky ledge and a scenic view is behind them
3735,The group of people is not sitting on a rocky ledge with a scenic view behind them
3736,Two girls are laughing breathlessly and other girls are watching them
3737,Two girls are laughing and other girls are watching them
3738,There is no girl laughing and there is no other girl watching
3739,A group of Asian girls are standing together
3740,The group of Asian girls are standing together
3741,A group of Asian girls are standing by themselves
3742,A bicyclist is holding a bike over his head in a group of people
3743,A bike is being held over his head by a bicyclist in a group of people
3744,A lone bicyclist is putting down a bike
3745,A cyclist is being held over the heads of a group of people with the bike
3746,A cold cyclist is celebrating
3747,Something is being celebrated by a cold cyclist
3748,There is no cold cyclist celebrating
3749,A man is sitting peacefully on a boat in front of the sunset near a flag
3750,"A man is sitting on a boat in font of the sunset, near a flag"
3751,A man is standing on a boat in front of the sunset near a flag
3752,A man is on a ship in front of the sunset
3753,A man is on a boat in front of the sunset
3754,There is no man on a boat in front of the sunset
3755,Some people at a drag race are looking at the flames that are coming out of the cars
3756,People at a drag race are looking at the flames that are coming out of the cars
3757,People at a drag race are running away from the flames that are coming out of the cars
3758,The crowd is watching two cars designed for racing that are leaving the starting line
3759,The crowd is watching two racing cars that are leaving the starting line
3760,The crowd is not watching two racing cars that are leaving the starting line
3761,Two dogs are cheerfully playing together on the grass
3762,Two dogs are playing together on the grass
3763,Two dogs are resting together in the grass
3764,A big dog and a small white dog are playing together
3765,A big dog and a small dog with a white coat are playing together
3766,A big dog and a small white dog are walking past each other
3767,"A dog, which is brown, is jumping in the air"
3768,A brown dog is jumping in the air
3769,A brown dog is sitting down
3770,A malnourished looking dog is standing on its hind legs and preparing to jump
3771,The malnourished looking dog is standing on its hind legs and is preparing to jump
3772,A healthy looking dog is lying on the ground
3773,The cop is sitting on a police bike
3774,The cop is sitting on a police bicycle
3775,The cop is not sitting on a police bike
3776,A policeman is sitting tiredly on a motorcycle
3777,A policeman is sitting on a motorcycle
3778,A policeman is getting off of a motorcycle
3779,A motorcyclist is sitting by a police man
3780,Two women are wearing bikinis on the sandy beach
3781,Two women are wearing bikinis on the beach which is sandy
3782,There are no women wearing bikinis on the sandy beach
3783,Two women are wearing bikinis and walking on the sand
3784,Two women are wearing bikinis and are walking on the sand
3785,Two women are naked and are standing on the sand
3786,A dog is swimming in a lake and the sun is shining on him
3787,The dog is swimming in a lake and the sun is shining on him
3788,There is no dog swimming in a lake with sunshine shining on him
3789,A dog with a golden coat is swimming clumsily through the water
3790,A dog with a golden coat is swimming through the water
3791,A dog with a golden coat is walking out of the water
3792,"A dog, which has a black coat, is running in the grass and its tongue is hanging out"
3793,A black dog is running in the grass and its tongue is hanging out
3794,A black dog is sitting in the grass and keeping its mouth closed
3795,A black dog is hanging out in the grass and running with its tongue out
3796,"A dog, which is black, is running in the grass"
3797,A black dog is running in the grass
3798,A black dog is lying in the grass
3799,"The cheerleaders are parading and wearing uniforms which are black, pink and white"
3800,"The cheerleaders are parading and wearing black, pink and white uniforms"
3801,"The cheerleaders are not parading and are not wearing black, pink and white uniforms"
3802,A large group of cheerleaders is walking in a parade
3803,Many cheerleaders are walking in a parade
3804,There is no large group of cheerleaders walking in a parade
3805,The man is sitting outside under a purple umbrella
3806,The man is sitting outdoors under a purple umbrella
3807,The man is sitting indoors
3808,A shoeless woman is sitting on a blanket under a lavender umbrella
3809,"A woman, who is shoeless, is sitting on a blanket under a lavender umbrella"
3810,A shoeless woman is standing over a blanket near a lavender umbrella
3811,The woman is playing with two young boys at a park
3812,A woman is playing with two young boys at a park
3813,There is no woman playing with two young boys at a park
3814,A lady is standing near three children
3815,A woman is standing near three children
3816,There is no woman standing near three children
3817,A yellow dog is running on white snow on a very sunny day
3818,A yellow dog is running on white snow on a sunny day
3819,A yellow dog is stopping on white snow on a sunny day
3820,A tan dog is running through the snow
3821,"A dog, which is tan, is running through the snow"
3822,A tan dog is resting in the snow
3823,A girl is wearing jeans and a pink shirt and is cheerfully running
3824,A girl is wearing jeans and a pink shirt and is running
3825,There is no girl wearing jeans and a pink shirt and running
3826,A girl is running with a pink shirt and is not wearing jeans
3827,The little girl in a pink shirt is running under a tree in the desert
3828,A little girl in a pink shirt is running under a tree in the desert
3829,A little boy in a pink shirt is running under a tree in the desert
3830,The white dog wearing reindeer ears is close to a brown dog
3831,The white dog wearing reindeer ears is near a brown dog
3832,The white dog is not wearing reindeer ears and isn't near a brown dog
3833,The white reindeer wearing dog ears is near a brown reindeer
3834,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass
3835,A white dog is wearing a Christmas reindeer headband and is playing with a dog with a brown coat in the grass
3836,There is no white dog wearing a Christmas reindeer headband and playing with a brown dog in the grass
3837,"A child, who is young, is riding a bike on a rough dirt path"
3838,A young child is riding a bike on a rough dirt path
3839,A young child is walking with a bike on a rough dirt path
3840,The young boy is riding a dirt bike through the mud
3841,A young boy is riding a dirt bike through the mud
3842,There is no young boy riding a dirt bike through the mud
3843,A woman in a red dress is playing an instrument
3844,An instrument is being played by a woman in a red dress
3845,A woman in a red dress is putting away an instrument
3846,The woman in a red costume is leaning against a wall made of bricks and playing an instrument
3847,The woman in a red costume is leaning against a brick wall and playing an instrument
3848,The woman in a red costume is not leaning against a brick wall and is not playing an instrument
3849,The child is delightedly playing with toys outdoors
3850,The child is playing with toys outdoors
3851,The child is playing with toys indoors
3852,A young child is wearing a white coat and playing a game
3853,"A child, who is young, is wearing a white coat and playing a game"
3854,There is no young child wearing a white coat and playing a game
3855,A young gamer is playing with a child wearing a white coat
3856,The man is wearing a wetsuit and is riding a surfboard
3857,The person is wearing a wetsuit and is riding a surfboard
3858,The man is lying naked near a surfboard
3859,A surfer is leaning on a surfboard
3860,The surfer is leaning on a surfboard
3861,There is no surfer leaning on a surfboard
3862,A surfer is leaning the surfboard against a wall
3863,A waterfall is flowing calmly into a shallow pool
3864,A waterfall is flowing into a shallow pool
3865,A waterfall is flowing out of a shallow pool
3866,The people are walking on the road beside a beautiful waterfall
3867,"The people are walking on the road beside a waterfall, which is beautiful"
3868,The people are not walking on the road beside a beautiful waterfall
3869,A dog is herding a group of white sheep on a dusty farm
3870,A dog is herding a pack of white sheep on a dusty farm
3871,A dog is scattering a pack of white sheep on a dusty farm
3872,A sheepdog is grouping a herd of sheep
3873,The sheepdog is grouping a herd of sheep
3874,A sheepdog is dispersing a herd of sheep
3875,"The male, who is dark skinned, is standing on one hand in front of a yellow building"
3876,The dark skinned male is standing on one hand in front of a yellow building
3877,The dark skinned male is not standing on one hand in front of a yellow building
3878,A yellow palm is in front of a building and one dark skinned male is standing next to it
3879,A black man is skillfully break dancing on the pavement
3880,A black man is break dancing on the pavement
3881,A black man is walking on the pavement
3882,A bike is being ridden by a person
3883,A person is riding a bike
3884,There is no person riding a bike
3885,"A person who rides bikes, in a black and red uniform, is standing on a dirt bike"
3886,A bike rider in a black and red uniform is standing on a dirt bike
3887,A bike rider in a black and red uniform is jumping down off a dirt bike
3888,A black bike rider in a red bike uniform is standing in the dirt
3889,A man in a purple suit is standing by a purple case and is playing a guitar
3890,A man in a purple colored suit is standing by a purple case and is playing a guitar
3891,There is no man in a purple suit standing by a purple case and playing a guitar
3892,"The guitar is being played by the man, who has the guitar case open for donations"
3893,The man is playing the guitar and has the guitar case open for donations
3894,The man is putting away the guitar in the guitar case
3895,The man is opening the guitar for donations and plays with the case
3896,Two adults are sitting in the chairs and are watching the ocean
3897,Some adults are sitting in the chairs and are watching the ocean
3898,Nobody is sitting in the chairs and watching the ocean
3899,A couple is sitting on a patio and is staring at the ocean
3900,A couple is sitting on a patio and looking at the ocean
3901,A couple is standing on a patio and looking at the sky
3902,"A small boy in a shirt, which is yellow, is laughing on the beach"
3903,A small boy in a yellow shirt is laughing on the beach
3904,There is no small boy in a yellow shirt laughing on the beach
3905,The little boy is wearing a yellow tank top and is laughing
3906,A little boy is wearing a yellow tank top and is laughing
3907,A little boy is topless and is serious
3908,A laughing boy is in a yellow tank and is wearing a top
3909,The orange rescue boat is rushing across the water
3910,"The rescue boat, which is orange, is rushing across the water"
3911,The orange rescue boat is not rushing across the water
3912,Two men are riding an orange raft on the beach
3913,Two men are riding an orange raft on the shore
3914,Two men are getting off of an orange raft on the shore
3915,Two men are rafting near a rider in orange on the shore
3916,A dog with really long hair and a red vest is running in the grass
3917,A dog with long hair and a red vest is running in the grass
3918,A dog with long hair and a red vest is sitting in the grass
3919,The dog in the dyed red vest is running in the field
3920,The dog in the red vest is running in the field
3921,The dog in the red vest is not running in the field
3922,A person is standing in a vast field of glacial ice
3923,One person is standing in a vast field of glacial ice
3924,There is no person standing in a vast field of glacial ice
3925,The person is standing dangerously on white ice
3926,The person is standing on white ice
3927,The person is not standing on white ice
3928,A blond boy is sliding down a dune of sand on a skateboard
3929,A blond boy is sliding down a sand dune on a skateboard
3930,A blond boy is walking up a sand dune with a skateboard
3931,A woman is swiftly snowboarding down an incline and another woman is standing behind her
3932,A woman is snowboarding down an incline and another woman is standing behind her
3933,There is no woman snowboarding down an incline and there is no other woman standing behind her
3934,The man is taking a picture of himself and another guy
3935,A picture of himself and another guy is being taken by the man
3936,The man is not taking a picture of himself and another guy
3937,A man is holding up an electronic device
3938,A person is holding up an electronic device
3939,A man is putting down an electronic device
3940,An electronic man is held as a device
3941,A little black dog is chasing a little brown dog
3942,"A dog, which is little and black, is chasing a little brown dog"
3943,There is no little black dog chasing a little brown dog
3944,The brown dog and the black dog are in the grass
3945,A brown dog and a black dog are in the grass
3946,A brown dog and a black dog are far from the grass
3947,A girl in a brown dress is being surrounded by children and is closing her eyes
3948,Children are surrounding a girl in a brown dress who is closing her eyes
3949,There is no girl in a brown dress being surrounded by children and closing her eyes
3950,A girl is surrounding brown dressed children who are closing the eyes
3951,The sun is shining on the face of the girl who is in the dyed yellow dress
3952,The sun is shining on the face of the girl who is in a yellow dress
3953,The sun is not shining on the face of the girl who is in a yellow dress
3954,Women are wearing bunny ears and race numbers and are curiously pointing at something in the distance
3955,Women are wearing bunny ears and race numbers and are pointing at something in the distance
3956,Women are not wearing bunny ears and race numbers and are not pointing at something in the distance
